F3,F2,F1,Label
True,False,True,A
False,True,False,B
False,True,False,B
True,False,True,A
False,True,False,B
False,False,False,B
True,True,True,A
False,True,False,B
False,True,False,B
False,True,False,B
True,False,True,A
False,False,False,B
False,True,False,B
False,False,False,A
False,True,False,A
True,False,True,A
True,False,True,A
False,True,False,B
False,True,False,B
False,True,False,B
True,True,True,B
True,True,False,B
True,True,True,A
True,True,False,B
True,True,True,A
True,True,True,A
True,True,False,B
True,False,True,A
True,False,True,A
True,False,True,A
True,False,True,B
False,True,False,B
False,True,False,B
True,True,True,B
False,False,False,B
True,True,True,A
True,False,True,A
False,False,False,B
True,True,True,A
True,False,True,A
True,False,True,A
True,False,True,A
True,True,True,A
True,True,True,A
False,True,False,B
True,False,True,A
False,False,False,B
True,False,True,B
False,True,False,B
False,False,False,B
True,True,True,B
True,False,True,A
False,False,False,A
True,False,True,A
True,False,True,B
False,True,False,B
True,False,True,A
True,False,False,A
False,True,False,B
True,True,True,B
True,True,True,A
True,False,True,A
False,True,True,A
True,True,True,A
False,False,False,B
False,True,False,B
True,True,True,A
False,True,False,A
True,False,True,A
False,True,False,B
False,True,False,B
False,True,False,B
False,False,False,B
True,False,True,A
False,True,False,B
False,True,False,B
True,False,True,A
True,True,True,A
True,False,True,A
False,False,False,B
True,False,True,A
True,False,True,A
False,True,False,B
True,False,True,A
False,True,False,A
False,False,False,A
True,True,True,A
True,True,True,A
True,True,True,A
False,False,False,B
False,False,False,B
False,True,False,B
True,True,True,A
True,True,True,A
False,False,False,A
True,True,True,B
True,True,True,B
True,False,True,A
False,True,False,A
True,False,True,A
True,False,True,A
True,True,True,A
False,False,False,B
True,True,True,A
True,False,True,A
True,True,True,A
True,False,True,A
False,False,False,B
False,True,False,B
False,False,False,B
True,True,True,B
False,False,False,B
True,False,True,A
True,False,True,A
True,False,True,B
True,True,True,A
False,True,False,B
False,True,False,B
False,True,False,B
True,False,True,A
True,False,True,A
False,True,False,B
False,False,False,B
True,True,False,B
True,True,True,A
True,False,True,A
True,True,True,A
True,False,True,A
True,False,True,A
True,True,True,A
True,False,True,A
False,True,False,B
False,True,False,B
True,True,True,A
True,True,True,A
False,True,False,B
True,True,True,A
True,True,True,A
True,False,True,A
False,True,False,B
False,False,False,B
False,False,False,B
True,True,True,A
False,False,False,B
False,True,False,B
False,True,False,B
True,False,True,A
True,False,True,A
True,False,True,A
True,False,False,B
False,True,True,A
False,False,False,B
False,True,False,B
False,True,False,B
True,False,True,A
False,True,False,B
True,False,True,A
False,True,False,B
False,False,False,A
True,False,True,A
True,False,True,A
False,True,False,B
False,False,False,B
False,True,False,B
True,False,True,A
True,False,True,B
True,True,True,A
False,False,False,A
False,True,False,B
True,False,True,A
True,True,True,A
True,True,True,A
False,True,False,A
False,True,False,B
True,False,True,A
True,False,True,A
True,False,True,A
False,False,False,B
True,False,True,B
False,False,False,B
False,False,False,B
True,False,True,A
True,False,True,A
True,False,True,A
True,False,True,A
True,False,True,A
True,False,True,A
True,True,True,A
True,False,True,A
True,False,True,A
True,True,True,A
True,True,True,A
